id,name,created_at,updated_at
1,台北市,2020-07-20 02:58:30.884524,2020-07-20 02:58:30.884524
2,基隆市,2020-07-20 02:58:30.889041,2020-07-20 02:58:30.889041
3,新北市,2020-07-20 02:58:30.892173,2020-07-20 02:58:30.892173
4,連江縣,2020-07-20 02:58:30.895192,2020-07-20 02:58:30.895192
5,宜蘭縣,2020-07-20 02:58:30.898333,2020-07-20 02:58:30.898333
6,釣魚台,2020-07-20 02:58:30.901437,2020-07-20 02:58:30.901437
7,新竹市,2020-07-20 02:58:30.904587,2020-07-20 02:58:30.904587
8,新竹縣,2020-07-20 02:58:30.907678,2020-07-20 02:58:30.907678
9,桃園縣,2020-07-20 02:58:30.91078,2020-07-20 02:58:30.91078
10,苗栗縣,2020-07-20 02:58:30.913948,2020-07-20 02:58:30.913948
11,台中市,2020-07-20 02:58:30.917178,2020-07-20 02:58:30.917178
12,彰化縣,2020-07-20 02:58:30.920257,2020-07-20 02:58:30.920257
13,南投縣,2020-07-20 02:58:30.923304,2020-07-20 02:58:30.923304
14,嘉義市,2020-07-20 02:58:30.926377,2020-07-20 02:58:30.926377
15,嘉義縣,2020-07-20 02:58:30.929402,2020-07-20 02:58:30.929402
16,雲林縣,2020-07-20 02:58:30.93266,2020-07-20 02:58:30.93266
17,台南市,2020-07-20 02:58:30.935907,2020-07-20 02:58:30.935907
18,高雄市,2020-07-20 02:58:30.93904,2020-07-20 02:58:30.93904
19,南海島,2020-07-20 02:58:30.942122,2020-07-20 02:58:30.942122
20,澎湖縣,2020-07-20 02:58:30.94531,2020-07-20 02:58:30.94531
21,金門縣,2020-07-20 02:58:30.94854,2020-07-20 02:58:30.94854
22,屏東縣,2020-07-20 02:58:30.951686,2020-07-20 02:58:30.951686
23,台東縣,2020-07-20 02:58:30.954765,2020-07-20 02:58:30.954765
24,花蓮縣,2020-07-20 02:58:30.957832,2020-07-20 02:58:30.957832
